,Subject,Trial,Song,Entropy,Familiarity,Enjoyment,Artist,Length,Popularity,Explicit,Acousticness,Danceability,Energy,Liveness,Loudness,Key,Mode,Speachiness,Instrumentalness,Tempo,Time signature,Happiness,Subjects,Area,Electrode,Mean_alpha,Std_alpha,Time_over_std,Event_density,Pulse_clarity,Zero_cross,Rolloff,Brightness,Regularity,Mir_entropy,Age,Training,Listening
0,1,1,First Fires,1.6494245850387306,1,8,Bonobo,4m 38s,45,no,39,61,41,44,-10.5,G#,major,4,29,110,4,21,1,left_arm,30,0.693739266220674,1.04514498913885,0.0575539568345324,0.838829939776314,0.357433874002505,944.395154789876,6107.11290836334,0.477065382237165,0.596354514732636,0.903008457005237,25,2,28
1,1,1,First Fires,1.6494245850387306,1,8,Bonobo,4m 38s,45,no,39,61,41,44,-10.5,G#,major,4,29,110,4,21,1,left_arm,36,0.659253496680427,1.04731827810828,0.0467625899280576,0.838829939776314,0.357433874002505,944.395154789876,6107.11290836334,0.477065382237165,0.596354514732636,0.903008457005237,25,2,28
2,1,1,First Fires,1.6494245850387306,1,8,Bonobo,4m 38s,45,no,39,61,41,44,-10.5,G#,major,4,29,110,4,21,1,left_arm,37,0.823278829412132,1.29892114343605,0.0359712230215827,0.838829939776314,0.357433874002505,944.395154789876,6107.11290836334,0.477065382237165,0.596354514732636,0.903008457005237,25,2,28
3,1,1,First Fires,1.6494245850387306,1,8,Bonobo,4m 38s,45,no,39,61,41,44,-10.5,G#,major,4,29,110,4,21,1,left_arm,41,0.757750158429733,1.21885438896318,0.0647482014388489,0.838829939776314,0.357433874002505,944.395154789876,6107.11290836334,0.477065382237165,0.596354514732636,0.903008457005237,25,2,28
4,1,1,First Fires,1.6494245850387306,1,8,Bonobo,4m 38s,45,no,39,61,41,44,-10.5,G#,major,4,29,110,4,21,1,left_arm,42,0.828433702061287,1.33429682101604,0.0431654676258993,0.838829939776314,0.357433874002505,944.395154789876,6107.11290836334,0.477065382237165,0.596354514732636,0.903008457005237,25,2,28
5,1,1,First Fires,1.6494245850387306,1,8,Bonobo,4m 38s,45,no,39,61,41,44,-10.5,G#,major,4,29,110,4,21,1,right_arm,87,1.16791017387296,1.86448668639583,0.039568345323741,0.838829939776314,0.357433874002505,944.395154789876,6107.11290836334,0.477065382237165,0.596354514732636,0.903008457005237,25,2,28
6,1,1,First Fires,1.6494245850387306,1,8,Bonobo,4m 38s,45,no,39,61,41,44,-10.5,G#,major,4,29,110,4,21,1,right_arm,93,1.62610784161788,2.61740669544372,0.0503597122302158,0.838829939776314,0.357433874002505,944.395154789876,6107.11290836334,0.477065382237165,0.596354514732636,0.903008457005237,25,2,28
7,1,1,First Fires,1.6494245850387306,1,8,Bonobo,4m 38s,45,no,39,61,41,44,-10.5,G#,major,4,29,110,4,21,1,right_arm,103,1.29507357269457,2.03062214095282,0.0431654676258993,0.838829939776314,0.357433874002505,944.395154789876,6107.11290836334,0.477065382237165,0.596354514732636,0.903008457005237,25,2,28
8,1,1,First Fires,1.6494245850387306,1,8,Bonobo,4m 38s,45,no,39,61,41,44,-10.5,G#,major,4,29,110,4,21,1,right_arm,104,1.25027462059578,1.97437585550596,0.0431654676258993,0.838829939776314,0.357433874002505,944.395154789876,6107.11290836334,0.477065382237165,0.596354514732636,0.903008457005237,25,2,28
9,1,1,First Fires,1.6494245850387306,1,8,Bonobo,4m 38s,45,no,39,61,41,44,-10.5,G#,major,4,29,110,4,21,1,right_arm,105,0.750407432959066,1.15057760359939,0.039568345323741,0.838829939776314,0.357433874002505,944.395154789876,6107.11290836334,0.477065382237165,0.596354514732636,0.903008457005237,25,2,28
